beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;degree_mean_mean;degree_mean_median;degree_mean_std;degree_mean_cv;degree_mean_ci_low;degree_mean_ci_high;degree_max_mean;degree_max_median;degree_max_std;degree_max_cv;degree_max_ci_low;degree_max_ci_high;degree_min_mean;degree_min_median;degree_min_std;degree_min_cv;degree_min_ci_low;degree_min_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;powerlaw_alpha_mean;powerlaw_alpha_median;powerlaw_alpha_std;powerlaw_alpha_cv;powerlaw_alpha_ci_low;powerlaw_alpha_ci_high;powerlaw_k_min_mean;powerlaw_k_min_median;powerlaw_k_min_std;powerlaw_k_min_cv;powerlaw_k_min_ci_low;powerlaw_k_min_ci_high;powerlaw_n_tail_mean;powerlaw_n_tail_median;powerlaw_n_tail_std;powerlaw_n_tail_cv;powerlaw_n_tail_ci_low;powerlaw_n_tail_ci_high
0.05;0.0;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;75488.8;75244.0;1956.5432681134346;0.025918325210010418;74276.12191869004;76701.47808130996;150.97760000000002;150.488;3.9130865362268676;0.025918325210010407;148.5522438373801;153.40295616261994;302.9;298.5;10.690650120549265;0.03529432195625377;296.27386640641765;309.5261335935823;61.2;61.5;4.422668877499196;0.07226583133168621;58.458801430031016;63.94119856996899;0.5924161898426125;0.5915571430191179;0.0018840970523983844;0.0031803605044942026;0.5912484143910083;0.5935839652942166;0.5171510884466762;0.5172818236673726;0.0010349167860761285;0.0020011884518789705;0.5165096403770588;0.5177925365162936;2.1482072072072067;2.150984984984985;0.014806078051753014;0.006892295120358417;2.1390303049550843;2.157384109459329;11.623702322096783;3.2559485850448784;14.455920643866616;1.2436588827972441;2.6638298798805895;20.583574764312978;152.7;108.5;75.47721510495734;0.49428431633894787;105.91873740908652;199.48126259091345;539.4;687.0;324.64140216552784;0.6018565112449533;338.1851742877777;740.6148257122222
0.05;0.1;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;83202.2;82851.0;2443.884645395523;0.029372836840798958;81687.4646036401;84716.9353963599;166.40439999999998;165.702;4.887769290791043;0.029372836840798944;163.37492920728016;169.4338707927198;417.4;415.5;30.842178911354495;0.07389118090885122;398.2838194609906;436.5161805390093;68.5;69.5;4.964876634922564;0.07247995087478196;65.42273758025091;71.57726241974909;0.608826188521102;0.6087104783801012;0.0027890243504853822;0.004580986171538043;0.6070975333192498;0.6105548437229543;0.5212059514139129;0.5213034679910515;0.0010720814874485684;0.002056924876894164;0.5205414684237357;0.5218704344040901;2.0585135135135135;2.0629599599599597;0.01824445220368064;0.008862925642174013;2.0472054848828747;2.0698215421441524;12.217350627025537;14.222981782816461;4.666397685136337;0.3819484131701988;9.325087377004595;15.10961387704648;267.5;302.5;76.77532155582287;0.287010547872235;219.9141626951884;315.0858373048116;200.2;77.5;256.4514768918284;1.280976408051091;41.24972784672559;359.1502721532744
0.05;0.2;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;92427.9;92101.0;3047.424337042677;0.032970827391325314;90539.08682719163;94316.71317280836;184.8558;184.202;6.094848674085357;0.032970827391325334;181.07817365438325;188.63342634561673;609.8;609.0;82.5660947362778;0.13539864666493573;558.625004293112;660.9749957068879;80.2;80.5;4.28485705712571;0.053427145350694635;77.54421808124236;82.85578191875764;0.6275460602474732;0.6276189476182343;0.003991891593558368;0.006361113305347122;0.625071860204281;0.6300202602906654;0.5229424218566501;0.522846881471215;0.001609669363200916;0.0030781005631288437;0.5219447384490186;0.5239401052642816;1.916442042042042;1.9175365365365367;0.026051562520809427;0.013593712697437223;1.9002951163043231;1.932588967779761;8.671475740127471;8.424331254388553;0.9246567320347361;0.10663199203289746;8.098367560028073;9.24458392022687;338.4;334.5;23.191377708105225;0.06853244003577194;324.0258351755658;352.77416482443414;78.7;81.5;14.366976021418008;0.18255369785791623;69.79525600592584;87.60474399407417
0.05;0.3;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;103577.2;103027.0;3842.6796587797953;0.03709966728951734;101195.482472132;105958.91752786799;207.15439999999998;206.054;7.685359317559587;0.03709966728951732;202.390964944264;211.91783505573596;839.2;860.5;104.2284030387111;0.12419971763430777;774.598566505069;903.8014334949311;92.4;93.0;4.386342439892262;0.047471238526972534;89.68131678932613;95.11868321067388;0.6491798691021082;0.6498475883240644;0.005643235321533005;0.008692868633370071;0.6456821556123903;0.6526775825918262;0.5223990297998337;0.5220999420741744;0.0026060146041013933;0.004988551768750286;0.5207838052139677;0.5240142543856996;1.8045175175175179;1.8034904904904905;0.01611225341208736;0.008928842893280999;1.7945310393895948;1.814503995645441;5.91758998777571;5.886793139995891;1.134449874440286;0.19170809008122924;5.214450670849136;6.620729304702284;349.4;355.5;66.98984997744061;0.19172824836130686;307.8792608158284;390.92073918417157;131.8;94.0;115.05285741779734;0.8729351852640161;60.489500172835704;203.11049982716432
0.05;0.4;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;116363.5;115476.0;4777.729884579077;0.04105866431122369;113402.23233785664;119324.76766214336;232.72700000000003;230.952;9.555459769158153;0.041058664311223673;226.80446467571332;238.64953532428675;966.4;989.5;45.91121867256412;0.04750746965290161;937.9439318527665;994.8560681472335;107.4;107.5;7.735631842325486;0.07202636724697846;102.60540571059448;112.19459428940553;0.6724819021145181;0.6723774736971121;0.00735830494338854;0.010942011852291426;0.667921177460038;0.6770426267689982;0.5220242898757863;0.5217878235741646;0.0037264948145280495;0.007138546781826483;0.519714584460454;0.5243339952911186;1.767138938938939;1.7688168168168168;0.009683484203672727;0.005479752604787872;1.7611370532480448;1.773140824629833;4.129543867216549;3.697189287440733;1.118108556974969;0.270758367734355;3.436533003789;4.822554730644098;268.9;231.5;120.39638698897903;0.44773665670873575;194.27754623171387;343.5224537682861;416.6;368.0;292.385430553576;0.7018373273009505;235.37763262113592;597.8223673788641
0.05;0.5;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;130566.6;129499.0;5761.833409601496;0.044129458909104594;126995.37865373226;134137.82134626774;261.13320000000004;258.99800000000005;11.523666819202994;0.044129458909104594;253.99075730746455;268.27564269253554;997.6;999.0;2.939387691339814;0.002946459193403983;995.778148633944;999.421851366056;127.5;126.5;7.256031973468694;0.056910054693872114;123.00266478901116;131.99733521098884;0.6953333819363114;0.6942087376474264;0.008703796520770609;0.0125174437857894;0.6899387129622397;0.7007280509103831;0.5248589121061151;0.5235829361854901;0.004654393322803302;0.008867894238713592;0.5219740892369529;0.5277437349752774;1.7386054054054054;1.7407427427427429;0.011535202021224218;0.0066347441376638635;1.731455813120585;1.7457549976902258;3.2843842557645795;3.267610088469604;0.12637221137607763;0.03847668285288962;3.206057947668053;3.362710563861106;180.8;168.0;22.4535075210979;0.12418975398837334;166.88317185562747;194.71682814437256;713.7;783.0;159.0006603759871;0.22278360708419098;615.1503696932353;812.2496303067647
0.05;0.6;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;145441.6;144559.5;6546.645785438524;0.04501219586032142;141383.94690359978;149499.25309640024;290.8832;289.119;13.093291570877055;0.045012195860321444;282.7678938071995;298.99850619280045;999.0;999.0;0.0;0.0;999.0;999.0;147.7;148.0;8.922443611477744;0.060409232305198006;142.16981215508912;153.23018784491086;0.7151638504539639;0.7143633582079364;0.00918505960685529;0.012843294024194454;0.7094708915287575;0.7208568093791703;0.5320836686923563;0.53171013012722;0.006012558030071315;0.011300023631335499;0.5283570466163201;0.5358102907683926;1.7088256256256256;1.7105915915915917;0.013106397968845909;0.007669827612777909;1.7007021960032027;1.7169490552480484;3.328110188576521;3.328506008399586;0.056983089984303834;0.017121755818029657;3.2927917034934344;3.363428673659608;180.1;180.5;6.549045732013177;0.03636338551922919;176.0408594013018;184.1591405986982;889.7;906.0;55.806899215061215;0.06272552457576848;855.110525508473;924.2894744915271
0.05;0.7;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;160360.3;159757.0;7232.628734422913;0.04510236470262848;155877.4702668531;164843.12973314687;320.7206;319.514;14.46525746884582;0.04510236470262846;311.75494053370625;329.68625946629373;999.0;999.0;0.0;0.0;999.0;999.0;173.0;173.5;11.28716084761797;0.06524370432149115;166.0041452273507;179.9958547726493;0.731061567260188;0.7317884949804465;0.009493603008225571;0.01298605128950344;0.7251773711535339;0.7369457633668421;0.5426574822528897;0.5421629920923493;0.007383907425820883;0.013606939307583027;0.5380808890153944;0.5472340754903849;1.6789583583583585;1.680166166166166;0.01447973720605186;0.008624238435674943;1.6699837242579645;1.6879329924587525;3.3718890067366822;3.3673637503830167;0.06660329090351755;0.01975251580655565;3.330607859348776;3.4131701541245887;208.4;201.5;19.744366285095097;0.09474264052348895;196.16231499016257;220.63768500983744;826.8;925.0;174.10387703896777;0.21057556487538434;718.8892990218301;934.7107009781698
0.05;0.8;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;175127.9;174617.0;7674.920135740827;0.04382465692639966;170370.93521618936;179884.86478381063;350.25579999999997;349.23400000000004;15.34984027148165;0.043824656926399655;340.74187043237873;359.7697295676212;999.0;999.0;0.0;0.0;999.0;999.0;199.8;202.5;12.663332894621384;0.06338004451762454;191.95118495567644;207.64881504432358;0.7430517984923799;0.7446375262551583;0.009340671092505895;0.01257068633903816;0.7372623905691248;0.748841206415635;0.5551812477284884;0.554671178902495;0.008602793856398436;0.015495469077164571;0.5498491808543724;0.5605133146026045;1.6493935935935937;1.6504164164164163;0.015365205476958629;0.00931566942944279;1.6398701405729519;1.6589170466142356;3.336208604893386;3.3279034457454415;0.08410491200073104;0.02520972815589832;3.2840798403646394;3.388337369422133;248.8;259.0;22.25668438918969;0.0894561269661965;235.00516409666284;262.5948359033372;661.3;551.5;216.454175288905;0.3273161580053002;527.1403122186101;795.4596877813898
0.05;0.9;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;189198.6;188758.0;7839.14319552845;0.041433410160162124;184339.8487091922;194057.3512908078;378.3972;377.51599999999996;15.678286391056895;0.04143341016016212;368.6796974183844;388.1147025816156;999.0;999.0;0.0;0.0;999.0;999.0;224.5;226.0;14.051690289783645;0.06259104806139708;215.7906721269664;233.2093278730336;0.7518119191049387;0.7525013159252337;0.008898529500659004;0.011836111232784191;0.7462965533794752;0.7573272848304022;0.5682332420480734;0.5675591701036484;0.009544186211349346;0.0167962475707148;0.5623176941473085;0.5741487899488382;1.621224024024024;1.6221061061061062;0.015693980371428343;0.009680328035402825;1.611496794212597;1.6309512538354511;3.2515153838170385;3.2758669047259685;0.053618325938165866;0.016490257498096756;3.2182824010962205;3.2847483665378565;286.7;282.0;8.246817568007675;0.028764623536824817;281.5885695152922;291.8114304847078;506.9;497.0;41.62559308886782;0.08211795835247153;481.1001901092275;532.6998098907724
0.05;1.0;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;202377.6;201935.0;7884.2476521225535;0.03895810431649824;197490.89267736176;207264.30732263825;404.75519999999995;403.87;15.768495304245107;0.038958104316498245;394.9817853547234;414.5286146452765;999.0;999.0;0.0;0.0;999.0;999.0;249.5;253.0;13.908630414242806;0.0557460136843399;240.8793415564703;258.1206584435297;0.7572956599131633;0.7571446417933331;0.008536714786953154;0.01127263133652718;0.7520045492706091;0.7625867705557174;0.5810588960568441;0.5801649593734934;0.010206392363762;0.017565159802257847;0.5747329085305279;0.5873848835831603;1.5948396396396396;1.5957257257257256;0.01578427958382892;0.009897095100668205;1.58505644179652;1.6046228374827591;3.277574422574908;3.271036804616908;0.04608251631388379;0.014059945060738157;3.249012183049615;3.306136662100201;303.1;299.0;8.525843066817497;0.028128812493624207;297.8156277193975;308.3843722806025;521.8;514.5;35.24712754253884;0.06754911372659801;499.95360401347625;543.6463959865237
0.55;0.0;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;475454.1;475723.5;820.0560285736578;0.0017247848500489488;474945.824007588;475962.375992412;950.9082000000001;951.447;1.640112057147314;0.0017247848500489469;949.8916480151761;951.9247519848241;984.3;985.0;1.8466185312619388;0.00187607287540581;983.1554539764605;985.4445460235394;827.0;830.0;7.733045971672482;0.009350720642892964;822.2070084498301;831.7929915501699;0.9545943216579922;0.9551844218851719;0.001549069812940542;0.0016227519667726831;0.9536341982407456;0.9555544450752388;0.9546342235172813;0.9552270446484452;0.0015477919384033925;0.0016213455376664207;0.9536748921348785;0.9555935548996841;1.0481399399399396;1.0476006006006005;0.0016417538109582872;0.0015663498244827526;1.0471223703855612;1.049157509494318;261.15705326342675;253.84705020240813;34.73134639769368;0.13299026759449795;239.6303417425115;282.68376478434203;970.7;971.0;1.4177446878757824;0.0014605384648972725;969.8212727385588;971.5787272614413;388.7;411.0;70.17699053108504;0.18054281073085937;345.20385063479756;432.1961493652024
0.55;0.1;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;483704.1;483847.0;716.6434887724859;0.0014815741457897213;483259.9197638093;484148.28023619065;967.4082000000001;967.694;1.433286977544965;0.0014815741457897141;966.5198395276187;968.2965604723814;999.0;999.0;0.0;0.0;999.0;999.0;872.0;874.0;5.347896782848375;0.006132909154642632;868.6853392330436;875.3146607669564;0.9700035760820784;0.9702976543141029;0.0013413396954316944;0.0013828193302641955;0.9691722051255806;0.9708349470385763;0.9699808123453109;0.9702767529122025;0.001342646004606968;0.001384198519721841;0.9691486317299978;0.970812992960624;1.0316234234234234;1.0313373373373373;0.0014347216992442453;0.0013907416860341807;1.03073417370132;1.0325126731455267;161.8721431485333;155.2830893897587;28.036185974424185;0.17319957238533798;144.49513505021676;179.24915124684983;983.0;982.5;2.4083189157584592;0.0024499683781876495;981.5073084712507;984.4926915287493;351.9;364.5;83.22794002016391;0.2365102018191643;300.31478833619076;403.4852116638092
0.55;0.2;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;488112.9;488302.5;613.2103146555837;0.0012562878683509157;487732.82830931206;488492.971690688;976.2257999999999;976.605;1.2264206293111686;0.001256287868350917;975.465656618624;976.9859433813758;999.0;999.0;0.0;0.0;999.0;999.0;899.2;901.5;5.775811631277461;0.006423278059694684;895.6201148621778;902.7798851378222;0.9782821210447861;0.978645042091377;0.0011456883262524627;0.0011711226256786642;0.9775720160632598;0.9789922260263123;0.978250467994051;0.9786147957232305;0.0011485151195846325;0.0011740501611409572;0.9775386109478655;0.9789623250402365;1.022796996996997;1.0224174174174174;0.0012276482775887892;0.0012002853754882444;1.0220360927113354;1.0235579012826586;96.80515966972577;95.13122157168459;13.925876286671702;0.14385469053698377;88.17381212372212;105.43650721572942;981.4;981.5;2.4576411454889016;0.002504219630618404;979.8767382365463;982.9232617634536;558.9;565.0;45.49604378404786;0.08140283375209853;530.7012599146699;587.0987400853301
0.55;0.3;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;490629.7;490838.0;535.090655870573;0.0010906201884447128;490298.04737546406;490961.35262453597;981.2593999999999;981.6759999999999;1.0701813117411392;0.001090620188444706;980.5960947509279;981.9227052490719;999.0;999.0;0.0;0.0;999.0;999.0;916.9;920.0;6.594694837519018;0.0071923817619358905;912.8125657925784;920.9874342074215;0.9830214557011688;0.9834061994913543;0.0010031892619836867;0.0010205161404825418;0.9823996725547188;0.9836432388476188;0.9829940666833776;0.9833808304463754;0.0010061244244560816;0.0010235305161614512;0.9823704643043795;0.9836176690623758;1.0177583583583583;1.0173413413413412;0.00107125256430542;0.001052560812208261;1.0170943891400681;1.0184223275766484;64.44476388162727;62.396368326630025;16.04951763806712;0.24904300475903707;54.49716978929301;74.39235797396152;975.5;976.0;6.264982043070834;0.006422329106172049;971.6169238997928;979.3830761002072;697.8;699.0;67.2113085722931;0.09631887155673992;656.1419993566661;739.4580006433338
